DQ689768	30	26.00	39.00
DQ540964	25	42.50	39.00
DQ701846	29	46.00	38.00
DQ540058	27	17.00	37.00
DQ706530	31	34.00	36.17
DQ710928	30	54.00	36.00
DQ706818	28	52.00	36.00
DQ546549	25	33.83	36.00
DQ540988	28	23.17	35.50
DQ540862	30	21.50	33.50
DQ696491	29	41.72	32.92
DQ540861	27	20.50	31.50
DQ563946	30	5.00	31.00
DQ562907	29	9.73	30.70
DQ702901	29	13.00	30.67
DQ707624	26	14.93	30.07
DQ540780	26	16.33	30.00
DQ540412	27	37.00	29.00
DQ539915	32	35.50	28.00
DQ565590	31	1.00	28.00
DQ698557	30	10.93	27.65
DQ689686	22	28.75	27.50
DQ541113	31	15.50	27.50
DQ555883	30	59.75	27.30
DQ711586	30	27.00	27.00
DQ564866	27	14.83	27.00
DQ562906	27	8.73	26.70
DQ564777	27	11.00	26.70
DQ562139	27	29.00	26.00
DQ725665	32	27.67	26.00
n205237	30	28.17	25.50
DQ702517	30	76.58	25.33
DQ725422	27	22.50	25.00
DQ540976	27	41.50	24.30
DQ564776	26	8.00	24.20
DQ709768	28	7.00	24.00
DQ540175	32	42.00	24.00
DQ540963	29	21.32	23.83
DQ691499	30	41.00	23.50
DQ701440	28	14.00	23.00
DQ539926	27	17.00	22.50
DQ724091	30	17.00	22.50
DQ715990	30	18.33	22.17
DQ719178	29	21.50	22.00
DQ687463	26	17.00	22.00
DQ552936	30	57.00	22.00
DQ703911	30	14.00	22.00
DQ555802	28	19.00	22.00
DQ540860	30	35.00	22.00
DQ707092	26	7.93	21.65
DQ555882	29	53.75	21.30
DQ721541	28	16.33	21.17
DQ715697	31	16.33	21.17
n199527	26	17.33	21.00
DQ709916	25	11.00	21.00
DQ565303	30	11.30	20.82
DQ718173	30	11.30	20.82
DQ692434	29	11.30	20.82
DQ691288	24	20.92	20.50
n199120	16	38.00	20.50
DQ715526	28	20.00	20.00
DQ567738	29	8.00	20.00
DQ720914	31	15.00	20.00
DQ540280	30	14.50	20.00
DQ540869	29	16.52	19.93
DQ540975	26	27.50	19.50
DQ541100	28	15.50	19.00
DQ712821	24	21.00	19.00
DQ545972	30	19.00	19.00
DQ702126	29	18.15	18.25
DQ703459	30	13.00	18.17
DQ699219	30	21.00	18.00
DQ540965	32	15.17	18.00
DQ707037	28	8.55	17.60
DQ541147	28	10.50	17.50
DQ555881	28	43.25	17.30
DQ568996	31	7.00	17.00
n202030	32	11.67	17.00
DQ703779	25	7.00	17.00
DQ545225	30	5.00	17.00
DQ541000	28	13.18	16.93
n197343	38	13.00	16.50
DQ540868	26	13.18	16.10
DQ541218	26	79.00	16.00
DQ718197	27	10.50	16.00
DQ714526	30	18.07	15.67
DQ540689	29	29.50	15.50
DQ540059	26	11.00	15.50
DQ724251	22	11.75	15.40
DQ714788	30	26.50	15.33
DQ540867	25	11.93	15.10
DQ693545	30	4.67	15.00
DQ717257	29	17.00	14.50
DQ544489	29	8.92	14.37
DQ551953	28	12.23	14.25
DQ541776	29	3.65	14.23
DQ541806	27	19.00	14.00
DQ540253	31	27.00	14.00
DQ686298	21	7.00	14.00
DQ706110	30	23.50	14.00
DQ545604	27	17.00	14.00
n202750	30	12.00	14.00
DQ696259	29	6.00	14.00
DQ723396	30	6.00	13.50
DQ555880	27	24.25	13.30
DQ716469	31	5.40	13.08
DQ722288	28	2.00	13.00
DQ558886	26	4.00	13.00
DQ548138	27	6.00	13.00
DQ566603	30	9.00	13.00
DQ694433	25	19.00	13.00
DQ559729	29	16.00	13.00
DQ541629	26	10.18	12.93
DQ540202	31	16.50	12.50
DQ710188	27	2.00	12.00
DQ541627	28	11.00	12.00
DQ725115	29	46.00	12.00
DQ715208	24	0.50	12.00
DQ718174	22	5.50	12.00
DQ690565	31	9.00	12.00
DQ721627	30	36.00	12.00
DQ563182	31	4.00	12.00
DQ725966	19	12.33	11.67
DQ717747	32	14.00	11.33
DQ698641	27	1.00	11.00
DQ705481	22	7.00	11.00
DQ702236	29	7.00	11.00
DQ697536	31	9.10	10.92
DQ693633	30	17.67	10.50
DQ692951	30	9.07	10.50
DQ558403	26	8.33	10.42
DQ716691	28	11.87	10.33
DQ548430	30	11.17	10.08
DQ709071	29	8.17	10.00
DQ568824	30	4.00	10.00
DQ709273	31	11.00	10.00
DQ719680	26	5.00	10.00
DQ719784	21	12.00	10.00
DQ691624	22	12.60	10.00
DQ719096	29	6.10	9.98
DQ693813	30	13.17	9.98
DQ709946	26	4.83	9.83
DQ540134	28	3.00	9.83
DQ551740	30	4.80	9.75
DQ551741	32	5.00	9.75
DQ708438	31	0.50	9.50
n204129	26	10.50	9.50
DQ698521	27	11.50	9.50
DQ550765	31	10.75	9.50
DQ707509	31	22.50	9.25
DQ712474	28	22.50	9.25
DQ712486	30	22.50	9.25
DQ724038	21	7.23	9.17
DQ717846	29	7.83	9.08
DQ727278	29	3.00	9.00
DQ703937	31	3.17	9.00
DQ553641	29	5.00	9.00
DQ698382	31	7.00	9.00
DQ547060	30	5.83	8.92
DQ554102	30	4.83	8.57
DQ541631	30	5.75	8.50
DQ694480	28	4.42	8.33
DQ562379	25	8.83	8.17
DQ703493	26	7.05	8.13
DQ699015	30	8.00	8.00
DQ565695	31	4.00	8.00
DQ687262	30	16.00	8.00
DQ540853	26	1.00	8.00
DQ541719	29	4.00	8.00
DQ721809	29	5.00	8.00
DQ686705	26	3.00	8.00
DQ719574	27	9.50	8.00
DQ698794	29	11.00	8.00
DQ569658	30	13.67	7.67
DQ684777	30	16.33	7.67
DQ548429	28	8.67	7.58
DQ569911	31	3.83	7.50
DQ714299	28	2.25	7.50
DQ705429	28	2.02	7.48
DQ700644	30	10.00	7.33
DQ542520	32	8.40	7.27
DQ725358	22	7.88	7.22
DQ715253	28	4.57	7.08
DQ540081	28	5.00	7.00
DQ559964	27	1.00	7.00
DQ555047	31	13.00	7.00
DQ546953	32	7.00	7.00
DQ697785	18	18.00	7.00
DQ712498	27	14.00	7.00
DQ703255	29	2.00	7.00
DQ703079	27	5.00	7.00
DQ559781	28	5.00	7.00
DQ726397	22	1.00	7.00
DQ540951	28	106.00	7.00
DQ707442	32	1.17	7.00
DQ695733	31	1.17	7.00
DQ550956	30	2.00	6.67
